aging_ms,cache_hit_rate,candidate_limit,duration_s,export_error,failed,forced_stop,long_missing_server_record,long_not_admitted,long_wait_lower_bound_max_ms,long_wait_max_ms,no_client_record,output_tokens_per_s,planned,policy,policy_fallback_calls,prefill_total_admission_wall_ms_p99,prefill_total_admission_wall_ms_sum,prefill_total_calls,prefill_total_cpu_ms_p99,prefill_total_cpu_ms_sum,prefill_total_scoring_wall_ms_p99,prefill_total_scoring_wall_ms_sum,prefill_total_wall_ms_p99,prefill_total_wall_ms_sum,priority_admission_wall_ms_p99,priority_admission_wall_ms_sum,priority_calls,priority_cpu_ms_p99,priority_cpu_ms_sum,priority_scoring_wall_ms_p99,priority_scoring_wall_ms_sum,priority_wall_ms_p99,priority_wall_ms_sum,rate,request_retractions,requests_per_s,run,seed,send_lag_p99_ms,sent,server_trace_available,short_successes,short_ttft_p95_ms,short_ttft_p99_ms,status,succeeded,workload
500.0,0.3988185398364132,64,1269.1657193289138,,1,False,1,0,,24377.83887493424,0,60.411338592206235,600,fcfs,0,0.2652065362781286,243.3828697539866,4197,1.4156546799586067,2116.188547994419,0.0,0.0,1.4241322781890629,2117.811273317784,0.0,0.0,2075,0.021136279995061978,18.06042300042776,0.0,0.0,0.019406978972256135,17.17742788605392,0.5,1,0.4719635827516112,runs/20260914-main-prefix-r05-s2-fcfs-n600-retry1,2,4.206775718066638,600,True,213,18970.150898722924,23191.98676736093,finished,599,prefix-conflict
500.0,0.38627509739286786,64,1232.3297135268804,,0,False,0,0,,47353.811264038086,0,62.32098370833025,600,lpm,0,0.18015396781265736,197.34665751457214,5155,2.245968699949117,2855.50909199921,1.0270189167931676,667.9153349250555,2.2457192838191986,2857.500044628978,0.0,0.0,2118,1.3680498699659431,849.4133119969617,1.1499687982723117,667.9153349250555,1.3680027890950435,849.6464309282601,0.5,1,0.4868826852213301,runs/20260914-main-prefix-r05-s3-lpm-n600-retry1,3,4.146871053542326,600,True,209,34876.34839336388,42495.92619034458,finished,600,prefix-conflict
500.0,0.38432724003596047,64,1232.3437371780165,,0,False,0,0,,84785.41484591551,0,62.320274516805505,600,dfs-weight,0,0.19460012204945085,224.98426749370992,5082,2.90059044997065,3431.552223994615,1.4357201755046844,790.0670093949884,2.9009166243486106,3433.586720144376,0.0,0.0,2137,1.9785924800044081,1387.1908109981134,1.5561037417501207,790.0670093949884,1.9785162340849636,1387.001723749563,0.5,3,0.486877144662543,runs/20260914-main-prefix-r05-s3-dfs-weight-n600-retry1,3,3.8964198752074704,600,True,209,28244.679957721382,44398.79645607425,finished,600,prefix-conflict
500.0,0.3996372430471584,64,1269.150778086856,,1,False,0,0,,24358.32225694321,0,60.41204979252107,600,fcfs,0,0.25656084762886183,232.5543409679085,4196,1.3553789999889438,1996.794301999877,0.0,0.0,1.3559342129156,1998.0388707481325,0.0,0.0,2078,0.017618040016031972,17.3553749954678,0.0,0.0,0.01809421926736832,16.655337996780872,0.5,1,0.47196913900407084,runs/20260914-main-prefix-r05-s2-fcfs-n600-retry2,2,3.9825922836860164,600,True,212,18935.380153008733,23146.690274546818,finished,599,prefix-conflict
500.0,0.3988185398364132,64,1269.1100775320083,,1,False,1,0,,24372.515535913408,0,60.41398721622416,600,fcfs,0,0.251746298745274,235.72904453612864,4190,1.3386450100188085,2009.628040998713,0.0,0.0,1.338406892027706,2010.74342103675,0.0,0.0,2075,0.01233455998089982,16.832771998537055,0.0,0.0,0.011893790215253712,16.057131346315145,0.5,1,0.47198427512675123,runs/20260914-main-prefix-r05-s2-fcfs-n600-retry3,2,4.052376783006935,600,True,213,18981.58936789259,23212.611654400815,finished,599,prefix-conflict
